Year,Title,Character(s),Actor,Notes,Country,Identity
1998,Hold You Tight,A-che,Lawrence Ko,"The story of a man living in Hong Kong who is initially drawn to a young woman, but soon finds he is more attracted to her boyfriend.",Hong Kong,Gay
1998,Hold You Tight,Tong,Eric Tsang,,Hong Kong,Gay
1998,Illuminata,Umberto Bevalaqua,Christopher Walken,A flamboyant theater critic.,United States,Gay
1998,The Impostors,Mr. Sparks,Billy Connolly,Sparks is an aging professional tennis player.,United States,Gay
1998,The Object of My Affection,George Hanson,Paul Rudd,George is a first grade teacher.,United States,Gay
1998,The Opposite of Sex,Bill Truitt,Martin Donovan,,United States,Gay
1998,The Opposite of Sex,Matt Mateo,Ivan Sergei,,United States,Gay
1998,The Velocity of Gary,Valentino,Vincent D'Onofrio,,United States,Gay
1998,The Velocity of Gary,Gary,Thomas Jane,,United States,Gay
1999,Advice from a Caterpillar,Spaz,Andy Dick,Spaz is Missy's best friend.,United States,Gay
1999,American Beauty,Jim Berkley,Sam Robards,Frank is closeted.,United States,Gay
1999,American Beauty,Jim Olmeyer,Scott Bakula,,United States,Gay
1999,American Beauty,Frank Fitts,Chris Cooper,,United States,Gay
1999,Big Daddy,Phil D'Amato,Allen Covert,,United States,Gay
1999,Big Daddy,Tommy Grayton,Peter Dante,,United States,Gay
1999,The Big Tease,Crawford Mackenzie,Craig Ferguson,,United States,Gay
1999,Black and White,Terry Donager,Robert Downey Jr.,Terry is the closeted husband of a documentary filmmaker.,United States,Gay
1999,Blast from the Past,Troy,Dave Foley,,United States,Gay
1999,The Boondock Saints,Paul Smecker,Willem Dafoe,Smecker is an FBI agent who is assigned to the murders linked to the MacManus twin brothers.,United States,Gay
1999,But I'm a Cheerleader,Dolph,Dante Basco,"Dolph, Clayton, Andre, and Joel are campers.
Rock is the son of Mary Brown, the founder of True Directions. Supposedly straight, he is actually closeted.
Mike is supposedly an ex-gay who helps with the process of ""curing"" campers of their homosexuality; however, he is clearly shown to be still attracted to men.
Lloyd and Larry are a couple described as ""ex, ex-gays"". Before the events of the film, they were once campers at True Directions before they defected. They help the campers sneak out and go party at a gay bar, and also give advice about dealing with one's own sexuality. They let ex-camper Dolph live with them when he is expelled from True Directions for having sex at the camp.",United States,Gay
1999,But I'm a Cheerleader,Clayton Dunn,Kip Pardue,,United States,Gay
1999,But I'm a Cheerleader,Andre,Douglas Spain,,United States,Gay
1999,But I'm a Cheerleader,Joel Goldberg,Joel Michaely,,United States,Gay
1999,But I'm a Cheerleader,Rock Brown,Eddie Cibrian,,United States,Gay
1999,But I'm a Cheerleader,Mike,RuPaul,,United States,Gay
1999,But I'm a Cheerleader,Lloyd Morgan-Gordon,Wesley Mann,,United States,Gay
1999,But I'm a Cheerleader,Larry Morgan-Gordon,Richard Moll,,United States,Gay
1999,Cruel Intentions,Blaine Tuttle,Joshua Jackson,,United States,Gay
1999,East Is East,"Nazir ""Nigel"" Khan",Ian Aspinall,,United Kingdom,Gay
1999,Go,Adam,Scott Wolf,Adam and Zack are soap opera actors who are in a relationship.,United States,Gay
1999,Go,Zack,Jay Mohr,,United States,Gay
1999,"Happy, Texas",Sheriff Chappy Dent,William H. Macy,,United States,Gay
1999,It's the Rage,Chris,David Schwimmer,,United States,Gay
1999,It's the Rage,Tim,Andre Braugher,,United States,Gay
1999,Magnolia,"""Quiz Kid"" Donnie Smith",William H. Macy,,United States,Gay
1999,Man of the Century,Tim,Anthony Rapp,,United States,Gay
1999,Second Skin,Diego,Javier Bardem,Diego is the handsome surgeon who Alberto has an affair with.,Spain,Gay
1999,Summer of Sam,Bobby Del Fiore,Brian Tarantina,,United States,Gay
1999,The Talented Mr. Ripley,Peter Smith-Kingsley,Jack Davenport,Peter is Ripley's lover later in the story.,United States,Gay
1999,Three to Tango,Peter Steinberg,Oliver Platt,,"Australia, United States",Gay
1999,Trick,Gabriel,Christian Campbell,,United States,Gay
1999,Trick,Mark Miranda,John Paul Pitoc,,United States,Gay
1999,The Underground Comedy Movie,Gay Man,Ant,,United States,Gay
1999,The Underground Comedy Movie,Gay Virgin,Michael Clarke Duncan,,United States,Gay
2000,American Psycho,Luis Carruthers,Matt Ross,,United States,Gay
2000,Before Night Falls,Reinaldo Arenas,Javier Bardem,"Reinaldo is imprisoned in Cuba for his homosexuality and later moves to New York City, where he contracts HIV/AIDS. He begins friendships with two other men, Pepe and Tomas.
José is a literature writer.
Virgilio is an influential writer.
Pepe is in a relationship with Reinaldo before leaving him to pursue a woman.",United States,Gay
2000,Before Night Falls,José Lezama Lima,Manuel González,,United States,Gay
2000,Before Night Falls,Tomas Diego,Santiago Magill,,United States,Gay
2000,Before Night Falls,Virgilio Piñera,Héctor Babenco,,United States,Gay
2000,Best in Show,Scott Donlan,John Michael Higgins,,United States,Gay
2000,Best in Show,Stefan Vanderhoof,Michael McKean,,United States,Gay
2000,Billy Elliot,"Michael Caffrey
cross-dresser","Stuart Wells (young Michael)
Merryn Owen (adult Michael)","Michael is a young boy and the best friend of Billy Elliot. At some point, Michael is seen using a dress and makeup. He shows interest in Billy, who does not reciprocate but is supportive of his friend.",United Kingdom,Gay
2000,Borstal Boy,Charlie Milwall,Danny Dyer,Charlie is a young Irish sailor in 1941.,"United Kingdom, Ireland",Gay
2000,Bounce,Seth,Johnny Galecki,Seth is Buddy's secretary,United States,Gay
2000,Bring It On,Les,Huntley Ritter,Les is a member of the Toros cheerleading team.,United States,Gay
2000,The Broken Hearts Club,Benji,Zach Braff,The film follows the lives of a group of gay friends in West Hollywood.,United States,Gay
2000,The Broken Hearts Club,Cole,Dean Cain,,United States,Gay
2000,The Broken Hearts Club,Dennis,Timothy Olyphant,,United States,Gay
2000,The Broken Hearts Club,Howie,Matt McGrath,,United States,Gay
2000,The Broken Hearts Club,Kevin,Andrew Keegan,,United States,Gay
2000,The Broken Hearts Club,Marshall,Justin Theroux,,United States,Gay
2000,The Broken Hearts Club,Patrick,Ben Weber,,United States,Gay
2000,The Broken Hearts Club,Taylor,Billy Porter,,United States,Gay
2000,Chuck & Buck,Buck O'Brien,Mike White,,United States,Gay
2000,Lavender,Chow Chow,Eason Chan,,Hong Kong,Gay
2000,The Next Best Thing,Robert Whittaker,Rupert Everett,"Robert is Abbie's best friend, who she decides to have a child with.",United States,Gay
2000,Sexy Beast,Teddy Bass,Ian McShane,,"United Kingdom, Spain",Gay
2000,Traffic,"Francisco ""Frankie Flowers"" Flores",Clifton Collins Jr.,,United States,Gay
2000,28 Days,Dutch Gerhardt,Alan Tudyk,,United States,Gay
2000,Urbania,Charlie,Dan Futterman,,United States,Gay
2000,Urbania,Chris,Matt Keeslar,,United States,Gay
2000,Urbania,Brett,Alan Cumming,,United States,Gay
2000,Wonder Boys,James Leer,Tobey Maguire,,"United States, United Kingdom, Germany, Japan",Gay
2001,Blow,Derek Foreal,Paul Reubens,,United States,Gay
2001,The Deep End,Beau Hall,Jonathan Tucker,Beau is a high school senior dating a 30-year-old club owner.,United States,Gay
2001,Gypsy 83,Clive Webb,Kett Turton,Clive is a young goth who joins his friend Gypsy on a road trip to see a Stevie Nicks tribute in New York City.,United States,Gay
2001,Hedwig and the Angry Inch,Luther Robinson,Maurice Dean Wint,,United States,Gay
2001,Josie and the Pussycats,Wyatt Frame,Alan Cumming,Wyatt is a record producer.,United States,Gay
2001,Kissing Jessica Stein,Martin,Michael Mastro,,United States,Gay
2001,Kissing Jessica Stein,Sebastian,Carson Elrod,,United States,Gay
2001,Lan Yu,Lan Yu,Liu Ye,The story of an affair between a young man and a middle-aged man. Set in mainland China.,"China, Hong Kong",Gay
2001,Lan Yu,Chen Handong,Hu Jun,,"China, Hong Kong",Gay
2001,Legally Blonde,Enrique Salvatore,Greg Serano,,United States,Gay
2001,L.I.E.,Howie Blitzer,Paul Dano,"Howie is discovering his sexual orientation.
Gary is a hustler who becomes a friend of Howie.
Big John is Gary's client and a pedophile.",United States,Gay
2001,L.I.E.,Gary Terrio,Billy Kay,,United States,Gay
2001,L.I.E.,Big John Harrigan,Brian Cox,,United States,Gay
2001,The Man Who Wasn't There,Creighton Tolliver,Jon Polito,,"United Kingdom, United States",Gay
2001,The Mexican,Leroy,James Gandolfini,,United States,Gay
2001,Saving Silverman,J.D McNugent,Jack Black,,United States,Gay
2001,Shake It All About,Jørgen,Troels Lyby,"Jacob asks Jørgen to marry him, and he happily accepts. However, Jacob falls in love with another woman.",Denmark,Gay
2001,Wet Hot American Summer,McKinley,Michael Ian Black,McKinley and Ben are camp counselors and lovers.,United States,Gay
2001,Wet Hot American Summer,Ben,Bradley Cooper,,United States,Gay
2002,Bend It Like Beckham,Tony,Ameet Chana,,"United Kingdom, United States, Germany, India",Gay
2002,Boat Trip,Lloyd Faversham,Roger Moore,Brian and Michael are boyfriends.,United States,Gay
2002,Boat Trip,Brian,Artie Lange,,United States,Gay
2002,Boat Trip,Michael,Will Ferrell,,United States,Gay
2002,Dahmer,Jeffrey Dahmer,Jeremy Renner,The story of the real-life serial killer of the same name.,United States,Gay
2002,Far from Heaven,Frank Whitaker,Dennis Quaid,,United States,Gay
2002,Friday After Next,Damon Pearly,Terry Crews,Damon is a newly released ex-convict who developed homosexual tendencies in prison.,United States,Gay
2002,The Hours,Richard Brown,Ed Harris,Richard is a moody poet and author living with AIDS.,"United Kingdom, United States",Gay
2002,Sweet Home Alabama,Bobby Ray,Ethan Embry,,United States,Gay
2002,Unconditional Love,Dirk,Rupert Everett,,United States,Gay
2002,Unconditional Love,Victor Fox,Jonathan Pryce,,United States,Gay
2003,American Wedding,Bear,Eric Allan Kramer,,United States,Gay
2003,Arisan!,Nino,Surya Saputra,The first Indonesian film to feature a same-sex kiss.,Indonesia,Gay
2003,Arisan!,Sakti,Tora Sudiro,,Indonesia,Gay
2003,Bright Young Things,Miles Maitland,Michael Sheen,,United Kingdom,Gay
2003,Latter Days,Christian Markelli,Wes Ramsey,Christian makes a bet with his friends that he can seduce a neighbor (Aaron) who is a Mormon missionary.,United States,Gay
2003,Latter Days,Aaron Davis,Steve Sandvoss,,United States,Gay
2003,Mambo Italiano,Angelo Barberini,Luke Kirby,"Angelo is the openly gay son of Italian immigrants. Nino is boyfriend, who is not out to his parents.",Canada,Gay
2003,Mambo Italiano,Nino Paventi,Peter Miller,,Canada,Gay
2003,Party Monster,Michael Alig,Macaulay Culkin,,United States,Gay
2003,Party Monster,James St. James,Seth Green,,United States,Gay
2004,The 24th Day,Dan,James Marsden,"Tom has been diagnosed with HIV and believes he infected his late wife with the AIDS virus. He had only one sexual encounter with a man, Dan, and thinks that it was he who transmitted the disease to him. Tom kidnaps Dan with the intent to kill him.",United States,Gay
2004,Alexander,Hephaistion,Jared Leto,Alexander has relationships with childhood friends Hephaistion and Bagoas.,"Germany, France, Italy, Netherlands, United Kingdom, United States",Gay
2004,Alexander,Bagoas,Francisco Bosch,,"Germany, France, Italy, Netherlands, United Kingdom, United States",Gay
2004,Bad Education,Enrique Goded,Fele Martínez,,Spain,Gay
2004,Bad Education,Father Manolo,Daniel Giménez Cacho,,Spain,Gay
2004,Bad Education,Ignacio Rodriguez,Francisco Boira,,Spain,Gay
2004,Brother to Brother,Perry,Anthony Mackie,Black art student Perry is thrown out by his parents for his homosexuality and is further disturbed by a potential romantic entanglement with a white boy in his class.,United States,Gay
2004,Enter the Phoenix,Georgie Hung Chi Kit,Daniel Wu,"Georgie lives as a cook with his boyfriend Frankie, is uninterested to continue his father's work.",Hong Kong,Gay
2004,Formula 17,Chou T'ien Tsai,Tony Yang,"Chou is looking for romance as he takes a trip to the capital, Taipei, to visit an online boyfriend in person for the first time. Disappointed to find that his online friend only wants sex and has no interest in forming a romantic bond, he starts to look elsewhere, finding his internet relationship. T'ien's roommate and friends help him look for the man of his dreams.
The film was banned in Singapore because it ""portrays homosexuality as normal, and a natural progression of society"".",Taiwan,Gay
2004,Formula 17,Bai Tieh Nan/Richard Bai,Duncan Lai,,Taiwan,Gay
2004,Formula 17,Yu,King Chin,,Taiwan,Gay
2004,Formula 17,Jun,Jason Chang,,Taiwan,Gay
2004,Formula 17,C.C.,Dada Ji,,Taiwan,Gay
2004,Formula 17,Alan,James Yun,,Taiwan,Gay
2004,Formula 17,Ray,Jeff Locker,,Taiwan,Gay
2004,Formula 17,Kevin,Ladder Yu,,Taiwan,Gay
2004,Hellbent,Joey,Hank Harris,,United States,Gay
2004,A Home at the End of the World,Jonathan Glover,Harris Allan / Dallas Roberts,Bobby finds a new home with his childhood friend Jonathan. The two boys come of age together and discover their sexuality.,United States,Gay
2004,A Home at the End of the World,Bobby Morrow,Colin Farrell,,United States,Gay
2004,Leave Me Alone,Yiu Chun Man,Ekin Cheng,Yiu is a fashion designer who has a boyfriend.,Hong Kong,Gay
2004,Leave Me Alone,Man's boyfriend,Jan Lamb,,Hong Kong,Gay
2004,Mean Girls,Damian,Daniel Franzese,,United States,Gay
2004,Mysterious Skin,Neil McCormick,Joseph Gordon-Levitt,Neil is the son of an irresponsible single mother who is already discovering his own homosexuality. He is sexually abused by the Little League baseball coach.,"Netherlands, United States",Gay
2004,Rice Rhapsody,Daniel,Alvin Chiang,,"Hong Kong, Singapore",Gay
2004,Rice Rhapsody,Harry,Craig Toh,,"Hong Kong, Singapore",Gay
2004,Saved!,Dean,Chad Faust,"Dean is sent away by his parents to be ""degayified"".
Mitch is Dean's boyfriend.",United States,Gay
2004,Saved!,Mitch,Kett Turton,,United States,Gay
2004,Somersault,Richard,Erik Thomson,,Australia,Gay
2004,Stage Beauty,George Villiers,Ben Chaplin,"Villiers, the Duke of Buckingham, is the lover of Kynaston.","Germany, United Kingdom, United States",Gay
2004,The Stepford Wives,Roger Bannister,Roger Bart,Roger and his long-time partner Jerry are residents of Stepford.,United States,Gay
2004,The Stepford Wives,Jerry Harmon,David Marshall Grant,,United States,Gay
2004,Touch of Pink,Alim,Jimi Mistry,"Alim and Giles are in an open relationship, but Alim is not out to his Muslim mother and family. When Alim's mother announces that she is going to be visiting him, he and Giles must pretend that they are only roommates, which begins to strain their relationship.","Canada, United Kingdom",Gay
2004,Touch of Pink,Giles,Kris Holden-Ried,,"Canada, United Kingdom",Gay
2005,Be Cool,Elliot Wilhelm,Dwayne Johnson,Elliot is Raji's Samoan bodyguard.,United States,Gay
2005,The Blossoming of Maximo Oliveros,"Maximo ""Maxi"" Oliveros",Nathan Lopez,A teenage effeminate gay boy who gets infatuated with a police officer who rescued him from harassment.,Philippines,Gay
2005,Brokeback Mountain,Randall Malone,David Harbour,Randall has an affair with Jack.,United States,Gay
2005,Capote,Truman Capote,Philip Seymour Hoffman,The film follows the events during the writing of Capote's book In Cold Blood.,"United States, Canada",Gay
2005,Capote,Jack Dunphy,Bruce Greenwood,,"United States, Canada",Gay
2005,C.R.A.Z.Y.,Zachary Beaulieu,Marc-André Grondin,,Canada,Gay
2005,Cursed,Bo,Milo Ventimiglia,,United States,Gay
2005,The Dying Gaul,Robert Sandrich,Peter Sarsgaard,,United States,Gay
2005,The Family Stone,Thad Stone,Tyrone Giordano,"Thad is deaf and is the youngest son in the Stone family. He and his partner, Patrick, have an adopted son.",United States,Gay
2005,The Family Stone,Patrick Thomas,Brian J. White,,United States,Gay
2005,Happy Endings,Charley Peppitone,Steve Coogan,Charlie runs a restaurant. Gil is his partner.,United States,Gay
2005,Happy Endings,Gil Palmer,David Sutcliffe,,United States,Gay
2005,Kinky Boots,Simon / Lola,Chiwetel Ejiofor,"A man who is a drag queen performer, with Simon as his alter ego.",United Kingdom,Gay
2005,Kiss Kiss Bang Bang,"Perry Van Shrike/""Gay Perry""",Val Kilmer,,United States,Gay
2005,Loggerheads,George,Michael Kelly,,United States,Gay
2005,Loggerheads,Mark,Kip Pardue,,United States,Gay
2005,Monster-in-Law,Remy,Adam Scott,Remy is Charlie's neighbor and best friend.,United States,Gay
2005,My Fair Son,Ray,Junrui Wang,,China,Gay
2005,My Fair Son,Unnamed student,Guifeng Wang,,China,Gay
2005,Rent,"Thomas B. ""Tom"" Collins",Jesse L. Martin,,United States,Gay
2005,Rent,Angel Dumott Schunard,Wilson Jermaine Heredia,,United States,Gay
2005,Tides of War,Frank Habley,Adrian Paul,"Cmdr. Habley and Lt. Cmdr. Palatonio (Frank's executive officer) are partners serving on the same submarine. Tom is killed in a battle and Frank must continue to serve on the same vessel.
Released in theaters as Phantom Below with the gay theme excluded. The original gay version was broadcast by the Here network.",United States,Gay
2005,Tides of War,Tom Palatonio,Mike Doyle,,United States,Gay
2005,V for Vendetta,Gordon Deitrich,Stephen Fry,,"Germany, United Kingdom, United States",Gay
2005,Wedding Crashers,Todd Cleary,Keir O'Donnell,"Todd is the hunchbacked brother of Claire who aggressively comes on to Jeremy. A GQ review described the character as an inexcusably unfunny riff on the old ""predatory gay man"" trope.",United States,Gay
2006,Another Gay Movie,Griff,Mitch Morris,,United States,Gay
2006,Another Gay Movie,Nico Hunter,Jonah Blechman,,United States,Gay
2006,Another Gay Movie,Jarod,Jonathan Chase,,United States,Gay
2006,Another Gay Movie,Andy Wilson,Michael Carbonaro,,United States,Gay
2006,The Architect,Shawn,Paul James,,United States,Gay
2006,The Architect,Martin Waters,Sebastian Stan,,United States,Gay
2006,Boy Culture,"Alex ""X""",Derek Magyar,,United States,Gay
2006,Boy Culture,Andrew,Darryl Stephens,,United States,Gay
2006,Boy Culture,Joey,Jonathon Trent,,United States,Gay
2006,Boy Culture,Gregory Talbot,Patrick Bauchau,,United States,Gay
2006,The Bubble,Ashraf,Yousef 'Joe' Sweid,,Israel,Gay
2006,The Bubble,Noam,Ohad Knoller,,Israel,Gay
2006,The Bubble,Yali,Alon Friedman,,Israel,Gay
2006,Confetti,Archie,Vincent Franklin,,United Kingdom,Gay
2006,Confetti,Gregory,Jason Watkins,,United Kingdom,Gay
2006,Crank,Kaylo,Efren Ramirez,Kaylo is Chev Chelios' informant.,United States,Gay
2006,Eternal Summer,Jonathan,Bryant Chang,"Jonathan, a studious schoolboy, is asked by his teacher to look after another boy, Shane, who is rebellious and dislikes learning. Ten years on, they have developed a good friendship despite their divergent lives: Jonathan on course to go to university and Shane to become a basketball player. Jonathan is also attracted to Shane, but the attraction is not reciprocated. However, the young men's fates change when a girl, Carrie, has a secret affair with Shane (who is determined to keep it secret in order to protect Jonathan's feelings) and also does her best to persuade Shane to abandon basketball and instead work hard to try to enter university.",Taiwan,Gay
2006,The History Boys,Douglas Hector,Richard Griffiths,Based on the play of the same name.,United Kingdom,Gay
2006,The History Boys,Tom Irwin,Stephen Campbell Moore,,United Kingdom,Gay
2006,The History Boys,David Posner,Samuel Barnett,,United Kingdom,Gay
2006,Infamous,Truman Capote,Toby Jones,The time of author Capote's life during which he researched and wrote In Cold Blood.,United States,Gay
2006,Let's Go to Prison,Barry,Chi McBride,,United States,Gay
2006,Let's Go to Prison,Nelson Biederman IV,Will Arnett,,United States,Gay
2006,Little Miss Sunshine,Frank Ginsberg,Steve Carell,"Frank, an unemployed scholar of Proust, is temporarily living with his sister's family after having attempted suicide.",United States,Gay
2006,The Night Listener,Gabriel Noone,Robin Williams,"Gabriel is a popular gay New York City radio show host, is dealing with a separation from his partner, Jess.",United States,Gay
2006,The Night Listener,Jess,Bobby Cannavale,,United States,Gay
2006,No Regret,Lee Su-min,Lee Yeong-hoon,,South Korea,Gay
2006,No Regret,Song Jae-min,Kim Nam-gil,,South Korea,Gay
2006,Poseidon,Richard Nelson,Richard Dreyfuss,Nelson is an architect and one of the survivors.,United States,Gay
2006,Running with Scissors,Neil Bookman,Joseph Fiennes,Augusten and Neil begin an erratic sexual relationship.,United States,Gay
2006,Running with Scissors,Augusten Burroughs,Joseph Cross,,United States,Gay
2006,Scenes of a Sexual Nature,Billy,Ewan McGregor,,United Kingdom,Gay
2006,Scenes of a Sexual Nature,Brian,Douglas Hodge,,United Kingdom,Gay
2006,Shortbus,James,Paul Dawson,James and Jamie are a couple. James wants to introduce other men into their relationship for sex.,Canada,Gay
2006,Shortbus,Jamie,PJ DeBoy,,Canada,Gay
2006,Talladega Nights: The Ballad of Ricky Bobby,Jean Girard,Sacha Baron Cohen,Jean is a French Formula One driver and Bobby's archrival.,United States,Gay
2007,Breakfast with Scot,Eric McNally,Tom Cavanagh,,Canada,Gay
2007,Breakfast with Scot,Sam,Ben Shenkman,,Canada,Gay
2007,Breakfast with Scot,Scot,Noah Bernett,,Canada,Gay
2007,I Now Pronounce You Chuck & Larry,Fred Duncan,Ving Rhames,,United States,Gay
2007,Love Songs,Erwann,Grégoire Leprince-Ringuet,"Ismaël, Julie, and Alice are in a ménage-à-trois. After a tragedy strikes and breaks them apart, the characters learn to deal with loss and mourning. Ismaël unexpectedly finds love again with a young man named Erwann.",France,Gay
2007,Shelter,Shaun,Brad Rowe,,United States,Gay
2007,Stardust,Captain Shakespeare,Robert De Niro,Captain Shakespeare is a sky pirate.,"United States, United Kingdom",Gay
2007,The Walker,Carter Page III,Woody Harrelson,"A middle-aged gay male escort living in Washington, D. C.","United States, United Kingdom",Gay
2008,Brideshead Revisited,Anthony Blanche,Joseph Beattie,,United Kingdom,Gay
2008,Brideshead Revisited,Lord Sebastian Flyte,Ben Whishaw,,United Kingdom,Gay
2008,Brideshead Revisited,Charles Ryder,Matthew Goode,,United Kingdom,Gay
2008,Death Race,"Joseph ""Machine Gun Joe"" Mason",Tyrese Gibson,,United States,Gay
2008,Doubt,Donald Miller,Joseph Foster,,United States,Gay
2008,Dream Boy,Nathan Davies,Stephan Bender,,United States,Gay
2008,Dream Boy,Roy,Maximillian Roeg,,United States,Gay
2008,Hamlet 2,Rand Posin,Skylar Astin,A drama student in love with his drama teacher.,United States,Gay
2008,Little Ashes,Salvador Dalí,Robert Pattinson,An unconsummated sexual attraction between Dali and Lorca (whose homosexuality was known).,"United Kingdom, Spain",Gay
2008,Little Ashes,Federico García Lorca,Javier Beltrán,,"United Kingdom, Spain",Gay
2008,Mamma Mia!,Harry Bright,Colin Firth,"Harry tells Donna: ""You were the first woman I ever loved, and also the last.""","Germany, United Kingdom, United States",Gay
2008,Milk,Harvey Milk,Sean Penn,"Milk is the first openly gay person to be elected to public office in California, as a member of the San Francisco Board of Supervisors.
Smith and Lira are Milk's lovers.",United States,Gay
2008,Milk,Cleve Jones,Emile Hirsch,,United States,Gay
2008,Milk,Jack Lira,Diego Luna,,United States,Gay
2008,Milk,Scott Smith,James Franco,,United States,Gay
2008,Nick & Norah's Infinite Playlist,Beefy Guy (Lethario),Jonathan B. Wright,,United States,Gay
2008,Nick & Norah's Infinite Playlist,Dev,Rafi Gavron,,United States,Gay
2008,Nick & Norah's Infinite Playlist,Thom,Aaron Yoo,,United States,Gay
2008,RocknRolla,Handsome Bob,Tom Hardy,Bob is a gangster.,"United States, United Kingdom, France",Gay
2008,Sex Drive,Rex Lafferty,James Marsden,,United States,Gay
2008,Tropic Thunder,Alpa Chino,Brandon T. Jackson,"Cino is a closeted rapper who is attempting to cross over into acting, portraying a soldier named Motown, while promoting his ""Bust-A-Nut"" candy bar and ""Booty Sweat"" energy drink.","United States, Germany, United Kingdom",Gay
2008,Zack and Miri Make a Porno,Brandon St. Randy,Justin Long,,United States,Gay
2009,44 Inch Chest,Meredith,Ian McShane,Meredith is a suave gambler.,United Kingdom,Gay
2009,Brüno,Brüno Gehard,Sacha Baron Cohen,A flamboyantly gay fashion reporter from Austria.,"United States, United Kingdom",Gay
2009,Cirque du Freak: The Vampire's Assistant,Mr. Tiny,Michael Cerveris,,United States,Gay
2009,Horsemen,Corey Kurth,Patrick Fugit,,United States,Gay
2009,I Killed My Mother,Hubert Minel,Xavier Dolan,,Canada,Gay
2009,"I Love You, Man",Robbie Klaven,Andy Samberg,Robbie is Peter's brother.,United States,Gay
2009,I Love You Phillip Morris,Phillip Morris,Ewan McGregor,"While incarcerated, Steve falls in love with his fellow inmate, Morris.","France, United States",Gay
2009,I Love You Phillip Morris,Steven Russell,Jim Carrey,,"France, United States",Gay
2009,Permanent Residence,Ivan,Sean Li,"Ivan seeks a long-term relationship with a straight friend. Befriending another young man, Windson, at a public sports club, the two build up a friendly rapport. However, Windson becomes aware of his inclination, and while happy to remain his friend, is initially very reluctant to become emotionally involved with him.
This is the first feature film directed by award-winning Chinese LGBT filmmaker known as 'Scud'.",Hong Kong,Gay
2009,Shank,Cal,Wayne Virgo,,United Kingdom,Gay
2009,Shank,Olivier,Marc Laurent,,United Kingdom,Gay
2009,Shank,Scott,Garry Summers,,United Kingdom,Gay
2009,Shank,Jonno,Tom Bott,,United Kingdom,Gay
2009,A Single Man,George Falconer,Colin Firth,"In 1962, George dreams that he encounters the body of his longtime partner, Jim, at the scene of the car accident that took his life.",United States,Gay
2009,A Single Man,Jim,Matthew Goode,,United States,Gay
2009,Soundless Wind Chime,Ricky,Lu Yulai,"An interracial love story, told through a linear narrative and a series of complex, interlocking flashbacks. Ricky, who has arrived in Hong Kong from mainland China, works as a delivery boy. He is robbed by a Swiss thief, Pascal, who admits his crime and returns the stolen item. The two eventually embark on a love affair, but through several flashbacks, it eventually becomes clear that Pascal has subsequently been killed in a road accident near their flat, which Ricky had witnessed. Some years later, Ricky visits Pascal's former home in Switzerland to find it abandoned. During his time there, he meets Pascal's doppelgänger in a man called Ueli, who nevertheless has a very different personality. They, too, fall in love and the contentment that Ricky finds enables him to reflect on the relationship he had with Pascal.","Hong Kong, Switzerland, China",Gay
2009,Soundless Wind Chime,Pascal,Bernhard Bulling,,"Hong Kong, Switzerland, China",Gay
2009,Soundless Wind Chime,Ueli,Bernhard Bulling,,"Hong Kong, Switzerland, China",Gay
2009,Taking Woodstock,Elliot Teichberg/Tiber,Demetri Martin,,United States,Gay
2009,Undertow,Santiago,Manolo Cardona,"Miguel is married to Mariela, who is pregnant with their first son, but he also has a secret affair with a male painter called Santiago.","Peru, Colombia, France, Germany",Gay
2010,Amphetamine,Daniel,Thomas Price,"Daniel, an openly-gay wealthy Chinese-Australian investment banker working in Hong Kong meets and befriends Kafka, a young swimming instructor from a poor local family, who has strong religious beliefs. Kafka was sexually assaulted as a teenager by a male gang after successfully defending a young woman from being raped, and as a result, he has become impotent and a habitual user of recreational drugs. Although initially uncomfortable with Daniel's obvious sexual attraction to him, he soon sees Daniel as offering him new hope in life, and he falls deeply in love with him. But Kafka's life begins to fall apart again when his mother dies suddenly, and he attempts to end his life.",Hong Kong,Gay
2010,Beginners,Hal,Christopher Plummer,"Shortly after his wife's death, Hal comes out to his son and begins exploring life as an openly gay man.",United States,Gay
2010,Burlesque,Sean,Stanley Tucci,A wisecracking man who works in a strip club.,United States,Gay
2010,Death at a Funeral,Frank Lovett,Peter Dinklage,A dwarf in love with the late father of the protagonist.,"United States, United Kingdom",Gay
2010,Dirty Girl,Clarke Walters,Jeremy Dozier,,United States,Gay
2010,Easy A,Brandon,Dan Byrd,,United States,Gay
2010,Every Day,Jonah Freed,Ezra Miller,,United States,Gay
2010,For Colored Girls,Carl Bradmore,Omari Hardwick,,United States,Gay
2010,Howl,Allen Ginsberg,James Franco,Ginsberg is a central figure of the Beat Generation. Fellow poet Orlovsky is Ginsberg's life partner for over forty years.,United States,Gay
2010,Howl,Peter Orlovsky,Aaron Tveit,,United States,Gay
2010,Kaboom,Oliver,Brennan Mejia,,United States,Gay
2010,The Last Exorcism,Logan,Logan Craig Reid,,United States,Gay
2010,Little White Lies,Vincent,Benoît Magimel,,France,Gay
2010,Scott Pilgrim vs. the World,"Scott aka ""Other Scott""",Ben Lewis,"Ben is Wallace's gay best friend.
Wallace is Scott's gay roommate, who has a boyfriend named Scott. He also hooked up with Stacey's boyfriend Jimmy.","United Kingdom, United States, Japan",Gay
2010,Scott Pilgrim vs. the World,Stephen Stills,Mark Webber,,"United Kingdom, United States, Japan",Gay
2010,Scott Pilgrim vs. the World,Wallace Wells,Kieran Culkin,,"United Kingdom, United States, Japan",Gay
