Year,Title,Character(s),Actor,Notes,Country,Ref(s)
1985,Once Bitten,Sebastian,Cleavon Little,"Sebastian is the flamboyant, stereotypically gay servant to the Countess. The film contains a running gag of Sebastian continuously ""coming out"" of the Countess' closet.",United States,[18]
1985,Spies Like Us,Russian Rocket Crew Member No. 1,Bjarne Thomsen,,United States,[18]
1985,Spies Like Us,Russian Rocket Crew Member No. 2,Sergei Rousakov,,United States,[18]
1985,St. Elmo's Fire,Ron Dellasandro,Matthew Laurance,,United States,[18]
1985,Westler,Felix,Sigurd Rachman,Felix and Thomas are lovers who are divided by the Berlin Wall.,West Germany,[18]
1985,Westler,Thomas,Rainer Strecker,,West Germany,[18]
1986,Absolute Beginners,Henley of Mayfair,James Fox,,United Kingdom,[90]
1986,Caravaggio,Caravaggio,Nigel Terry,,United Kingdom,[18]
1986,Caravaggio,Jerusaleme,Spencer Leigh,,United Kingdom,[18]
1986,The Decline of the American Empire,Claude,Yves Jacques,,Canada,[91]
1986,Mala Noche,Walt Curtis,Tim Streeter,"Walt falls in love with Mexican migrant, Johnny.",United States,[18]
1986,The Morning After,Frankie,James Haake,"Frankie is the drag queen friend of Alex, who lets her borrow clothing while she is on the run from the police for suspicion of murder.",United States,[18]
1986,Parting Glances,Michael,Richard Ganoung,,United States,[18]
1986,Parting Glances,Nick,Steve Buscemi,,United States,[18]
1986,Parting Glances,Robert,John Bolger,,United States,[18]
1986,Tough Guys,Bar Patron,Matthew Faison,,United States,[18]
1987,Beyond Therapy,Bob,Christopher Guest,,United States,[92]
1987,Friends Forever,Patrick,Thomas Sigsgaard,"Partrick is the best friend of the main protagonist, Kristian, and develops a relationship with Mads, the captain of the soccer team.",Denmark,[93]
1987,Friends Forever,Mads,Morten Stig Christensen,,Denmark,[93]
1987,The Heart Exposed,Jean-Marc,Gilles Renaud,Jean-Marc and Mathieu fall in love despite a ten-year age difference and the complication that Mathieu is the father of a five-year-old son.,Canada,[94]
1987,The Heart Exposed,Mathieu,Michel Poirier,,Canada,[94]
1987,Law of Desire,Pablo Quintero,Eusebio Poncela,,Spain,[95]
1987,Law of Desire,Antonio Benítez,Antonio Banderas,,Spain,[95]
1987,Law of Desire,Juan,Miguel Molina,,Spain,[95]
1987,Maurice,Clive Durham,Hugh Grant,,United Kingdom,[18]
1987,Maurice,Maurice Hall,James Wilby,,United Kingdom,[18]
1987,Maurice,Alec Scudder,Rupert Graves,,United Kingdom,[18]
1987,No Way Out,Scott Pritchard,Will Patton,,United States,[96]
1987,Prick Up Your Ears,Joe Orton,Gary Oldman,,United Kingdom,[18]
1987,Prick Up Your Ears,Kenneth Halliwell,Alfred Molina,,United Kingdom,[18]
1987,Radio Days,Fred,Robert Joy,"Fred's coming out is treated with compassion and understanding by his girlfriend, Bea, when he bursts into tears after hearing ""I'm Getting Sentimental Over You"", a song which reminds him of his departed lover.",United States,[18]
1987,Stage Fright,Brett,Giovanni Lombardo Radice,Brett is one of the actors in a theater troupe being targeted by a killer wearing an owl mask.,Italy,[97]
1987,Tough Guys Don't Dance,Lonnie Pangborn,R. Patrick Sullivan,,United States,[98]
1987,Withnail and I,Monty,Richard Griffiths,,United Kingdom,[99]
1988,The Fruit Machine,Eddie,Emile Charles,"Eddie and Michael are best friends who are on the run from a killer after they witness him murdering a drag queen at a gay club called ""The Fruit Machine.""",United Kingdom,[100]
1988,The Fruit Machine,Michael,Tony Forsyth,,United Kingdom,[100]
1988,Madame Sousatzka,Mr. Cordle,Geoffrey Bayldon,,"United Kingdom, Canada",[101]
1988,Once More,Louis,Jean-Louis Rolland,The film follows Louis' life through the span of 10 years.,France,[102]
1988,Salome's Last Dance,Lord Alfred 'Bosie' Douglas,Douglas Hodge,,"United Kingdom, United States",[103]
1988,Torch Song Trilogy,Arnold Beckoff,Harvey Fierstein,,United States,[104]
1988,Torch Song Trilogy,Alan Simon,Matthew Broderick,,United States,[104]
1988,Torch Song Trilogy,David,Eddie Castrodad,,United States,[104]
1988,We Think the World of You,Frank Meadows,Alan Bates,Frank is a middle-aged man who helps support the younger and bisexual Johnny and his family.,United Kingdom,[105]
1989,Apartment Zero,Adrian LeDuc,Colin Firth,,"United Kingdom, Argentina",[106]
1989,Coming Out,Philipp Klarmann,Matthias Freihof,,East Germany,[107]
1989,Coming Out,Matthias,Dirk Kummer,,East Germany,[107]
1989,Fun Down There,Buddy Fields,Michael Waite,,United States,[108]
1989,Fun Down There,Joseph,Nickolas B. Nagourney,,United States,[108]
1989,Getting It Right,Harry,Richard Huw,"Harry is the best friend of the film's protagonist, Gavin. Winthrop is Harry's boyfriend.","United Kingdom, United States",[109]
1989,Getting It Right,Winthrop,Kevin Drinkwater,,"United Kingdom, United States",[109]
1989,Last Exit to Brooklyn,Harry Black,Stephen Lang,Black is a union strike overseer trying to hide his homosexuality in a bitter marriage.,"West Germany, United States",[110]
1989,Longtime Companion,David,Bruce Davison,"Bruce, a wealthy man, becomes the caregiver of his lover, Sean, a soap opera writer, after he is infected with the HIV virus. The film depicts the increasing effect of HIV/AIDS on a group of gay men during eight-years, between 1981 and 1989.
Willy and Fuzzy begin a relationship and move in together.",United States,[111][112]
1989,Longtime Companion,Fuzzy,Stephen Caffrey,,United States,[111][112]
1989,Longtime Companion,Sean,Mark Lamos,,United States,[111][112]
1989,Longtime Companion,Willy,Campbell Scott,,United States,[111][112]
1989,Looking for Langston,James,Akim Mogaji,James and Beauty fall in love in 1920s Harlem.,United Kingdom,[113]
1989,Looking for Langston,Beauty,Matthew Baidoo,,United Kingdom,[113]
1990,Europa Europa,Robert Kellerman,André Wilms,Robert is gay and Solek is Jewish. They hold each other's secret in solidarity while fighting in the German Army during World War II.,"Germany, France, Poland",[114]
1990,Miller's Crossing,Bernie Bernbaum,John Turturro,,United States,[115]
1990,Miller's Crossing,Eddie Dane,J.E. Freeman,,United States,[115]
1990,Miller's Crossing,Mink Larouie,Steve Buscemi,,United States,[115]
1990,Q & A,Josè Malpica,International Chrysis,,United States,[116]
1990,Q & A,Roger Montalvo,Paul Calderón,,United States,[116]
1991,The Adjuster,Larry,Stephen Ouimette,,Canada,[117]
1991,Edward II,Edward II,Steven Waddington,,United Kingdom,[118]
1991,Edward II,Piers Gaveston,Andrew Tiernan,,United Kingdom,[118]
1991,The Fisher King,Homeless Cabaret Singer,Michael Jeter,,United States,[119]
1991,Frankie and Johnny,Tim,Nathan Lane,,United States,[120]
1991,The Hours and Times,Brian Epstein,David Angus,,United States,[121]
1991,JFK,Willie O'Keefe,Kevin Bacon,Willie is a male prostitute serving five years in prison for soliciting. He was romantically involved with Clay.,United States,[122][123]
1991,JFK,Clay Shaw,Tommy Lee Jones,,United States,[122][123]
1991,Madonna: Truth or Dare,Himself,Gabriel Trupin,,United States,[124]
1991,My Own Private Idaho,Mike Waters,River Phoenix,,United States,[125]
1991,Naked Lunch,Yves Cloquet,Julian Sands,,"Canada, United Kingdom, Japan",[126]
1991,The Prince of Tides,Eddie Detreville,George Carlin,,United States,[120]
1991,Queens Logic,Eliot,John Malkovich,,United States,[127]
1991,Young Soul Rebels,Caz,Mo Sesay,,United Kingdom,[128]
1992,Being at Home with Claude,Yves,Roy Dupuis,,Canada,[129]
1992,Being at Home with Claude,Claude,Jean-François Pichette,,Canada,[129]
1992,Inside Monkey Zetterland,Brent Zetterland,Tate Donovan,"Brent is Monkey's brother, who is a hairdresser.",United States,[130]
1992,The Living End,Jon,Craig Gilmore,,United States,[131][132]
1992,The Living End,Luke,Mike Dytri,,United States,[131][132]
1992,The Long Day Closes,Bud,Leigh McCormack,,United Kingdom,[133]
1992,Passed Away,Boyd Pinter,Tim Curry,,United States,[134]
1992,Peter's Friends,Peter,Stephen Fry,,United Kingdom,[135]
1992,Single White Female,Graham Knox,Peter Friedman,,United States,[120]
1992,Swoon,Richard Loeb,Daniel Schlachet,,United States,[136]
1992,Swoon,Nathan Leopold Jr.,Craig Chester,,United States,[136]
1992,When the Party's Over,Banks,Kris Kamm,,United States,[137]
1993,Blue,Himself,Derek Jarman,This was Jarman's final experimental film and documents his last years while living with AIDS. It was released four months before his death.,United Kingdom,[138]
1993,Even Cowgirls Get the Blues,The Countess,John Hurt,The Countress is a femine hygiene products mogul.,United States,[139]
1993,Farewell My Concubine,Cheng Dieyi,Leslie Cheung,"The film tells the troubled relationship between Peking opera actors Dieyi and Duan Xiaolou, and Xiaolou's wife Juxian.",British Hong Kong,[140]
1993,Grief,Mark,Craig Chester,Mark is a writer who contemplates suicide on the one year anniversary of his lover's death.,United States,[141]
1993,Love and Human Remains,David McMillan,Thomas Gibson,,Canada,[142]
1993,M. Butterfly,René Gallimard,Jeremy Irons,,United States,[143]
1993,M. Butterfly,Song Liling,John Lone,,United States,[143]
1993,Mrs. Doubtfire,Frank,Harvey Fierstein,"""Uncle Frank"" is Daniel's brother. He and his partner ""Aunt Jack"" are makeup artists.",United States,[144][145]
1993,Mrs. Doubtfire,Jack,Scott Capurro,,United States,[144][145]
1993,Naked in New York,Chris,Ralph Macchio,Chris is Jake's best friend who kisses him during a party.,United States,[146]
1993,Philadelphia,Andrew Beckett,Tom Hanks,"Beckett was fired from his employment as a senior associate attorney at the largest corporate law firm in Philadelphia after they found out he had AIDS.
Alvarez is Beckett's partner.
Philadelphia is the first major Hollywood film to deal with the subject of AIDS.",United States,[147][148][149]
1993,Philadelphia,Miguel Alvarez,Antonio Banderas,,United States,[147][148][149]
1993,Six Degrees of Separation,Paul,Will Smith,,United States,[150][151]
1993,This Boy's Life,Arthur Gayle,Jonah Blechman,,United States,[152]
1993,The Wedding Banquet,Wai-Tung Gao,Winston Chao,,"Taiwan, United States",[153]
1994,"The Adventures of Priscilla, Queen of the Desert","Anthony ""Tick"" Belrose/Mitzi Del Bra",Hugo Weaving,"Near the end of the film, Bernadette is shocked to learn that Anthony/Mitzi was not only once married to a woman but also has a son.",Australia,[154]
1994,Der bewegte Mann,Norbert Brommer,Joachim Król,"Walter is a crossdresser using the name ""Waltraud"".",Germany,[155]
1994,Der bewegte Mann,Horst/Metzger,Armin Rohde,,Germany,[155]
1994,Der bewegte Mann,Walter/Waltraud,Rufus Beck,,Germany,[155]
1994,Double Happiness,Andrew Chau,Johnny Mah,,Canada,[156]
1994,Drunken Master III,Gay bus passenger,Simon Yam,,Hong Kong,[157]
1994,Ed Wood,"John ""Bunny"" Breckinridge",Bill Murray,Bunny is Ed's drag queen friend.,United States,[158]
1994,Four Weddings and a Funeral,Gareth,Simon Callow,,United Kingdom,[159]
1994,Four Weddings and a Funeral,Matthew,John Hannah,,United Kingdom,[159]
1994,A Man of No Importance,Alfred Byrne,Albert Finney,"Byrne is a closeted homosexual bus conductor in 1963 Dublin. His sister tries to find him a suitable woman, but his real passion is putting on amateur theatre productions of Oscar Wilde plays, particularly Salome. The film deals with his struggle, temptation, and friendships, and how they are affected by his homosexuality.","United Kingdom, Ireland",[160]
1994,Oh! My Three Guys,Ching Yu-hoi,Lau Ching-wan,"Good friends Kau, Hoi and Fa are homosexual men. Hoi works in an advertising firm while Kau and Fa have not found a suitable job yet. Hoi's new female colleague Mei became interested in him.",British Hong Kong,[161]
1994,Oh! My Three Guys,Fa,Dayo Wong,,British Hong Kong,[161]
1994,Oh! My Three Guys,Kau Ku-neung,Eric Kot,,British Hong Kong,[161]
1994,Prêt-à-Porter,Cy Bianco,Forest Whitaker,Bianco and Romney are fashion designers.,United States,[162]
1994,Prêt-à-Porter,Cort Romney,Richard E. Grant,,United States,[162]
1994,Priest,Father Greg Pilkington,Linus Roache,,United Kingdom,[163]
1994,Priest,Graham,Robert Carlyle,,United Kingdom,[163]
1994,Pulp Fiction,Zed,Peter Greene,He rapes Marsellus Wallace.,United States,[164][165]
1994,Reality Bites,Sammy Gray,Steve Zahn,,United States,[166]
1994,The Sum of Us,Jeff Mitchell,Russell Crowe,,Australia,[167]
1994,Threesome,Eddy,Josh Charles,,United States,[168]
1994,Trevor,Trevor,Brett Barsky,,United States,[169]
1994,Uncovered,César,John Wood,César is Julia's guardian.,United Kingdom,[170]
1994,Wagons East,Julian Rogers,John C. McGinley,,United States,[171]
1994,Wild Reeds,François Forestier,Gaël Morel,,France,[172]
1995,An Awfully Big Adventure,Meredith Potter,Hugh Grant,"Meredith is a manager, actor and director of a troupe.",United Kingdom,[173]
1995,The Basketball Diaries,Swifty,Bruno Kirby,,United States,[174]
1995,Billy Madison,Max Anderson,Josh Mostel,"The principal of the elementary school, and a former masked wrestler known as the ""Revolting Blob"".",United States,[175]
1995,Braveheart,Prince Edward,Peter Hanly,,United States,[120]
1995,Carrington,Lytton Strachey,Jonathan Pryce,"Lytton is the sadomasochistic lover of Roger.
Lytton was a founding member of the Bloomsbury Group. His homosexuality, as depicted in the film, was well known.","France, United Kingdom",[176][177]
1995,Clueless,Christian Stovitz,Justin Walker,,United States,[178]
1995,Home for the Holidays,Tommy Larson,Robert Downey Jr.,Tommy married his boyfriend Jack in a beach wedding.,United States,[179]
1995,Home for the Holidays,Jack,Sam Slovick,,United States,[179]
1995,Jefferson in Paris,Richard Cosway,Simon Callow,,"France, United States",[180]
1995,Jeffrey,Darius,Bryan Batt,,United States,[181]
1995,Jeffrey,Steve Howard,Michael T. Weiss,,United States,[181]
1995,Jeffrey,Jeffrey,Steven Weber,,United States,[181]
1995,Jeffrey,Sterling,Patrick Stewart,,United States,[181]
1995,Nixon,J. Edgar Hoover,Bob Hoskins,,United States,[182]
1995,Party Girl,Derrick,Anthony DeSando,,United States,[183]
1995,Stonewall,La Miranda,Guillermo Díaz,,"United Kingdom, United States",[184]
1995,Stonewall,Matty Dean,Frederick Weller,,"United Kingdom, United States",[184]
1995,Stonewall,Vinnie,Bruce MacVittie,,"United Kingdom, United States",[184]
1995,Stonewall,Bostonia,Duane Boutte,,"United Kingdom, United States",[184]
1995,Stonewall,Ethan,Brendan Corbalis,,"United Kingdom, United States",[184]
1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Vida Boheme,Patrick Swayze,Vida and Noxeema are drag queens.,United States,[185][186]
1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Noxeema Jackson,Wesley Snipes,,United States,[185][186]
1995,Total Eclipse,Arthur Rimbaud,Leonardo DiCaprio,"The film presents a historical account of the passionate and violent relationship between 19th-century French poets Arthur Rimbaud and Paul Verlaine, at a time of soaring creativity for both men.","United Kingdom, France, Belgium, Italy, United States",[187]
1995,Waiting to Exhale,David Matthews,Giancarlo Esposito,,United States,[188]
1996,Beautiful Thing,Ste Pearce,Scott Neal,,United Kingdom,[189][190]
1996,Beautiful Thing,Jamie Gangel,Glen Berry,,United Kingdom,[189][190]
1996,The Birdcage,Agador,Hank Azaria,,United States,[191][42]
1996,The Birdcage,Albert Goldman,Nathan Lane,,United States,[191][42]
1996,The Birdcage,Armand Goldman,Robin Williams,,United States,[191][42]
1996,Dream for an Insomniac,Rob,Michael Landes,Rob is apprehensive about coming out to his father.,United States,[192]
1996,Flirting with Disaster,Paul Harmon,Richard Jenkins,Tony and Paul are ATF agents who are in a relationship with each other.,United States,[193]
1996,Flirting with Disaster,Tony Kent,Josh Brolin,,United States,[193]
1996,Get on the Bus,Kyle,Isaiah Washington,Kyle is an ex-Marine who is the midst of breaking up with his lover Randall.,United States,[194]
1996,Get on the Bus,Randall,Harry Lennix,,United States,[194]
1996,Hollow Reed,Martyn Wyatt,Martin Donovan,"Martyn, a family doctor, married Hannah to hide his homosexuality, and they divorced after he finally came out.
Tom is Martyn's lover.","Germany, United Kingdom, Spain",[195][196]
1996,Hollow Reed,Tom Dixon,Ian Hart,,"Germany, United Kingdom, Spain",[195][196]
1996,I Shot Andy Warhol,Andy Warhol,Jared Harris,,"United Kingdom, United States",[197]
1996,Indian Summer,Tonio,Jason Flemyng,"Tonio is a rising young star of a London ballet company. Ramon is the former star-turned-choreographer of the company, who is dying of AIDs. Jack is an older Therapist who falls in love with Tonio.",United Kingdom,[198]
1996,Indian Summer,Jack,Antony Sher,,United Kingdom,[198]
1996,Indian Summer,Ramon,Anthony Higgins,,United Kingdom,[198]
1996,It's My Party,Nick Stark,Eric Roberts,"Stark, an architect who hosted a two-day party after being diagnosed with progressive multifocal leukoencephalopathy, will fall into a state of mental lapse lasting for months until his death. He decides to host a party for his family and friends, at the end of which he will commit suicide by taking Seconal.",United States,[199]
1996,Johns,Donner,Lukas Haas,,United States,[200]
1996,Mrs. Winterbourne,Paco,Miguel Sandoval,,United States,[201]
1996,Mulholland Falls,Jimmy Fields,Andrew McCarthy,,United States,[202]
1996,Sling Blade,Vaughn Cunningham,John Ritter,,United States,[203][204]
1996,Stealing Beauty,Alex Parrish,Jeremy Irons,,United Kingdom,[205]
1996,When the Cat's Away,Michel,Olivier Py,,France,[206][207]
1996,"Who's the Woman, Who's the Man?",Auntie,Eric Tsang,,Hong Kong,[208]
1997,All Over Me,Luke,Pat Briggs,,United States,[209][210]
1997,All Over Me,Jesse,Wilson Cruz,,United States,[209][210]
1997,As Good as It Gets,Simon Bishop,Greg Kinnear,"Simon is an artist living in Manhattan. We learn that his parents kicked him out for being homosexual and was abused by his father because of it. Homophobic neighbor Melvin Udall uses derogatory terms when referring to Simon, but after Simon is brutally attacked he becomes the caretaker of Simon's dog, Verdell.",United States,[211]
1997,Bent,Max,Clive Owen,Max is a promiscuous gay man living in 1930s Berlin. He is at odds with his wealthy family because of his homosexuality.,"United Kingdom, Japan",[212]
1997,Bent,Ruby,Brian Webber II,,"United Kingdom, Japan",[212]
1997,Best Men,Sergeant Buzz Thomas,Dean Cain,,United States,[213]
1997,Black Rose II,Dan,Blackie Ko,,Hong Kong,[214]
1997,Boogie Nights,Scotty J.,Philip Seymour Hoffman,,United States,[215]
1997,Chasing Amy,Hooper,Dwight Ewell,Hooper is a black cartoonist.,United States,[216]
1997,The Fifth Element,Baby Ray,Ian Beckett,,United States,[217]
1997,The Full Monty,Lomper,Steve Huison,,United Kingdom,[218]
1997,The Full Monty,Guy,Hugo Speer,,United Kingdom,[218]
1997,The Hanging Garden,William,Chris Leavins,,"United Kingdom, Canada",[219]
1997,The Hanging Garden,Fletcher,Joel Keller,,"United Kingdom, Canada",[219]
1997,Happy Together,Ho Po-Wing,Leslie Cheung,Ho Po-Wing and Lai Yiu-Fai are a gay couple from Hong Kong with a tumultuous relationship marked by frequent separations and reconciliations. They visit Argentina together but break up after they become lost while traveling to visit the Iguazu Falls.,British Hong Kong,[220]
1997,Happy Together,Lai Yiu-Fai,Tony Leung Chiu-wai,,British Hong Kong,[220]
1997,In & Out,Howard Brackett,Kevin Kline,,United States,[221]
1997,In & Out,Peter Malloy,Tom Selleck,,United States,[221]
1997,The Jackal,Douglas,Stephen Spinella,,United States,[222]
1997,"Kiss Me, Guido",Warren,Anthony Barrile,,United States,[223]
1997,Love! Valour! Compassion!,Gregory Mitchell,Stephen Bogardus,,United States,[224]
1997,Love! Valour! Compassion!,James Jeckyll,John Glover,,United States,[224]
1997,Love! Valour! Compassion!,Perry Sellars,Stephen Spinella,,United States,[224]
1997,Love! Valour! Compassion!,Buzz Hauser,Jason Alexander,,United States,[224]
1997,Love! Valour! Compassion!,Ramon Fornos,Randy Becker,,United States,[224]
1997,Love! Valour! Compassion!,Arthur Pape,John Benjamin Hickey,,United States,[224]
1997,Love! Valour! Compassion!,Bobby Brahms,Justin Kirk,,United States,[224]
1997,Midnight in the Garden of Good and Evil,Jim Williams,Kevin Spacey,,United States,[225][226]
1997,My Best Friend's Wedding,George Downes,Rupert Everett,"George is Julianne's friend and confidante. He agrees to pose as her fiancé so that she can make Michael, the college friend she thought would marry her, jealous.",United States,[227][228]
1997,Nowhere,Cowboy,Guillermo Diaz,Cowboy and Bart are bandmates as well as boyfriends.,United States,[229]
1997,Nowhere,Bart,Jeremy Jordan,,United States,[229]
1997,Spice World,Himself,Elton John,,United Kingdom,[230]
1997,Swept from the Sea,Dr. James Kennedy,Ian McKellen,,"United Kingdom, United States",[231]
1997,Til There Was You,Gregory,Ken Olin,,United States,[232]
1997,Waiting for Guffman,Corky St. Clair,Christopher Guest,,United States,[233][234]
1997,Wilde,Oscar Wilde,Stephen Fry,"Oscar loves his wife and children, but is sexually attracted to men. He becomes obsessed with Alfred.
Alfred is Wilde's lover. Their relationship becomes a scandal resulting in Oscar's downfall.",United Kingdom,[235][236]
1997,Wilde,"Lord Alfred ""Bosie"" Douglas",Jude Law,,United Kingdom,[235][236]
1997,Wilde,John Gray,Ioan Gruffudd,,United Kingdom,[235][236]
1998,Alice and Martin,Benjamin,Mathieu Amalric,,"France, Spain",[237]
1998,Bedrooms and Hallways,Darren,Tom Hollander,,United Kingdom,[238]
1998,Billy's Hollywood Screen Kiss,Billy Collier,Sean Hayes,"Billy is a photographer who falls in love with sexually ambiguous waiter/model Gabriel. He hires Gabriel
Perry is Billy's mentor, patron, and admirer.
Fernando is Billy's on-again, off-again lover. He has an open relationship, but frequently pursues Billy.",United States,[239]
1998,Billy's Hollywood Screen Kiss,Perry,Richard Ganoung,,United States,[239]
1998,Billy's Hollywood Screen Kiss,Fernando,Armando Valdes-Kennedy,,United States,[239]
1998,Dark Harbor,Young Man,Norman Reedus,David and the young man are lovers.,United States,[240]
1998,Edge of Seventeen,Eric Hunter,Chris Stafford,,United States,[241]
1998,54,Steve Rubell,Mike Myers,Steve Rubell is co-owner of the New York City disco Studio 54.,United States,[242]
1998,Bishonen,Jet,Stephen Fung,,Hong Kong,[243]
1998,Get Real,Steven Carter,Ben Silverstone,,United Kingdom,[244]
1998,Get Real,John Dixon,Brad Gorton,,United Kingdom,[244]
1998,Gods and Monsters,George Cukor,Martin Ferrero,The film recounts the partly fictionalized last days of the life of film director James Whale.,"United Kingdom, United States",[245][246][247]
1998,Gods and Monsters,David Lewis,David Dukes,,"United Kingdom, United States",[245][246][247]
1998,Gods and Monsters,James Whale,Ian McKellen,,"United Kingdom, United States",[245][246][247]
1998,Head On,Ari,Alex Dimitriades,,Australia,[248][249]
1998,Hold You Tight,A-che,Lawrence Ko,"The story of a man living in Hong Kong who is initially drawn to a young woman, but soon finds he is more attracted to her boyfriend.",Hong Kong,[250]
1998,Hold You Tight,Tong,Eric Tsang,,Hong Kong,[250]
1998,Illuminata,Umberto Bevalaqua,Christopher Walken,A flamboyant theater critic.,United States,[251]
1998,The Impostors,Mr. Sparks,Billy Connolly,Sparks is an aging professional tennis player.,United States,[252]
1998,The Object of My Affection,George Hanson,Paul Rudd,George is a first grade teacher.,United States,[253]
1998,The Opposite of Sex,Bill Truitt,Martin Donovan,,United States,[254]
1998,The Opposite of Sex,Matt Mateo,Ivan Sergei,,United States,[254]
1998,The Velocity of Gary,Valentino,Vincent D'Onofrio,,United States,[255]
1998,The Velocity of Gary,Gary,Thomas Jane,,United States,[255]
1999,Advice from a Caterpillar,Spaz,Andy Dick,Spaz is Missy's best friend.,United States,[256]
1999,American Beauty,Jim Berkley,Sam Robards,Frank is closeted.,United States,[257][258]
1999,American Beauty,Jim Olmeyer,Scott Bakula,,United States,[257][258]
1999,American Beauty,Frank Fitts,Chris Cooper,,United States,[257][258]
1999,Big Daddy,Phil D'Amato,Allen Covert,,United States,[259]
1999,Big Daddy,Tommy Grayton,Peter Dante,,United States,[259]
1999,The Big Tease,Crawford Mackenzie,Craig Ferguson,,United States,[260]
1999,Black and White,Terry Donager,Robert Downey Jr.,Terry is the closeted husband of a documentary filmmaker.,United States,[261]
1999,Blast from the Past,Troy,Dave Foley,,United States,[262]
1999,The Boondock Saints,Paul Smecker,Willem Dafoe,Smecker is an FBI agent who is assigned to the murders linked to the MacManus twin brothers.,United States,[263]
1999,But I'm a Cheerleader,Dolph,Dante Basco,"Dolph, Clayton, Andre, and Joel are campers.
Rock is the son of Mary Brown, the founder of True Directions. Supposedly straight, he is actually closeted.
Mike is supposedly an ex-gay who helps with the process of ""curing"" campers of their homosexuality; however, he is clearly shown to be still attracted to men.
Lloyd and Larry are a couple described as ""ex, ex-gays"". Before the events of the film, they were once campers at True Directions before they defected. They help the campers sneak out and go party at a gay bar, and also give advice about dealing with one's own sexuality. They let ex-camper Dolph live with them when he is expelled from True Directions for having sex at the camp.",United States,[264][265][266]
1999,But I'm a Cheerleader,Clayton Dunn,Kip Pardue,,United States,[264][265][266]
1999,But I'm a Cheerleader,Andre,Douglas Spain,,United States,[264][265][266]
1999,But I'm a Cheerleader,Joel Goldberg,Joel Michaely,,United States,[264][265][266]
1999,But I'm a Cheerleader,Rock Brown,Eddie Cibrian,,United States,[264][265][266]
1999,But I'm a Cheerleader,Mike,RuPaul,,United States,[264][265][266]
1999,But I'm a Cheerleader,Lloyd Morgan-Gordon,Wesley Mann,,United States,[264][265][266]
1999,But I'm a Cheerleader,Larry Morgan-Gordon,Richard Moll,,United States,[264][265][266]
1999,Cruel Intentions,Blaine Tuttle,Joshua Jackson,,United States,[267]
1999,East Is East,"Nazir ""Nigel"" Khan",Ian Aspinall,,United Kingdom,[268]
1999,Go,Adam,Scott Wolf,Adam and Zack are soap opera actors who are in a relationship.,United States,[269]
1999,Go,Zack,Jay Mohr,,United States,[269]
1999,"Happy, Texas",Sheriff Chappy Dent,William H. Macy,,United States,[270]
1999,It's the Rage,Chris,David Schwimmer,,United States,[271]
1999,It's the Rage,Tim,Andre Braugher,,United States,[271]
1999,Magnolia,"""Quiz Kid"" Donnie Smith",William H. Macy,,United States,[272]
1999,Man of the Century,Tim,Anthony Rapp,,United States,[273]
1999,Second Skin,Diego,Javier Bardem,Diego is the handsome surgeon who Alberto has an affair with.,Spain,[274]
1999,Summer of Sam,Bobby Del Fiore,Brian Tarantina,,United States,[275]
1999,The Talented Mr. Ripley,Peter Smith-Kingsley,Jack Davenport,Peter is Ripley's lover later in the story.,United States,[276]
1999,Three to Tango,Peter Steinberg,Oliver Platt,,"Australia, United States",[277]
1999,Trick,Gabriel,Christian Campbell,,United States,[278]
1999,Trick,Mark Miranda,John Paul Pitoc,,United States,[278]
1999,The Underground Comedy Movie,Gay Man,Ant,,United States,[279]
1999,The Underground Comedy Movie,Gay Virgin,Michael Clarke Duncan,,United States,[279]
2000,American Psycho,Luis Carruthers,Matt Ross,,United States,[280]
2000,Before Night Falls,Reinaldo Arenas,Javier Bardem,"Reinaldo is imprisoned in Cuba for his homosexuality and later moves to New York City, where he contracts HIV/AIDS. He begins friendships with two other men, Pepe and Tomas.
José is a literature writer.
Virgilio is an influential writer.
Pepe is in a relationship with Reinaldo before leaving him to pursue a woman.",United States,[281][282][283]
2000,Before Night Falls,José Lezama Lima,Manuel González,,United States,[281][282][283]
2000,Before Night Falls,Tomas Diego,Santiago Magill,,United States,[281][282][283]
2000,Before Night Falls,Virgilio Piñera,Héctor Babenco,,United States,[281][282][283]
2000,Best in Show,Scott Donlan,John Michael Higgins,,United States,[284][285]
2000,Best in Show,Stefan Vanderhoof,Michael McKean,,United States,[284][285]
2000,Billy Elliot,"Michael Caffrey
cross-dresser","Stuart Wells (young Michael)
Merryn Owen (adult Michael)","Michael is a young boy and the best friend of Billy Elliot. At some point, Michael is seen using a dress and makeup. He shows interest in Billy, who does not reciprocate but is supportive of his friend.",United Kingdom,[286]
2000,Borstal Boy,Charlie Milwall,Danny Dyer,Charlie is a young Irish sailor in 1941.,"United Kingdom, Ireland",[287]
2000,Bounce,Seth,Johnny Galecki,Seth is Buddy's secretary,United States,[288]
2000,Bring It On,Les,Huntley Ritter,Les is a member of the Toros cheerleading team.,United States,[289]
2000,The Broken Hearts Club,Benji,Zach Braff,The film follows the lives of a group of gay friends in West Hollywood.,United States,[290][291]
2000,The Broken Hearts Club,Cole,Dean Cain,,United States,[290][291]
2000,The Broken Hearts Club,Dennis,Timothy Olyphant,,United States,[290][291]
2000,The Broken Hearts Club,Howie,Matt McGrath,,United States,[290][291]
